"ID","Up_regulated"
"hsa-miR-30e-5p","ANGPTL6,BHLHA15"
"hsa-miR-21-5p","GNG7,PHF1,PLIN5,KCNA2"
"hsa-miR-215","GLRA4,CES2"
"hsa-miR-185-5p","SLC7A3"
"hsa-miR-181a-5p","TSC22D3"
"hsa-let-7a-3p","PPM1L"
"hsa-miR-145-5p","SV2C"
"hsa-miR-93-5p","MAGEA12,MAGEA6,MAGEA3"
"hsa-miR-423-5p","SPRR2E"
"hsa-miR-21-3p","PITPNM3,TANC1,BBS2,ZHX3,ARHGAP10,FAM172A,DNAJC27,MPP7,C15orf17,DSTYK,MXI1,GAB1,SEPT10,C15orf59,PCYOX1,CLIP4,MYO9A,ZNF846"
"hsa-miR-30c-2-3p","ASB5,NCAM1,SLC5A7,ABL1,TSPYL2,RABGAP1,CMYA5,KCNQ4,CTNNA3,FAM129A,PITPNM3,TGFBR3,SETD7,TNNI3K,CAB39L,HLF,BBS2,ZHX3,ABI3BP,JMY,CENPF,ATP1A2,DNAJC27,RNF180,ADARB1,ZYG11B,FOXP2,HIPK4,C15orf17,ABCA9,ANKS1A,BTC,NTN1,MAMDC2,C9orf5,PDK4,PIP5K1C,C15orf59,FYCO1,CHRM2,EML5,MAP4,MYO9A,ZFYVE20,HDAC4,AASS,SORBS1,FAT3,ULK2,DOCK3,MPDU1,C20orf194"
"hsa-miR-671-5p","LOC84740"
"hsa-miR-192-3p","ARHGEF4,AHNAK,DLG2,TUBB6,NIPAL4,TANC1,AHNAK2,EPN2,WDR47,CLDND1,ARHGAP10,RNF11,KIAA1737,MPP7,SLAIN2,DAAM1,MXI1,SEPT10,C15orf59,PPP1CB,ZNF846"
"hsa-miR-330-5p","RNF150,PDZRN3,PARK2,ASB5,MTR,ANTXR2,SATB1,DNAJB5,NCAM1,JAM2,C14orf132,DMPK,EFHA2,PAIP2,C7orf41,SLC5A7,PCSK2,TCEAL1,DMGDH,CNN1,ABL1,PRNP,C6orf225,ACACB,DNAJC18,SLC25A4,C9orf47,TBC1D1,TSPYL2,CSRP1,ANK2,LOH12CR2,SPARCL1,EID1,DAPK3,CTNNA3,TTC7B,ITIH5,PDLIM3,RYR3,ATP1B2,C6orf186,ASB2,DIRC3,DCLK2,TEF,SH3BGR,SETD7,NRP2,ASB16,CLIC4,GPRASP2,MSRB3,NPAS4,LMOD1,CALCOCO1,PEG3,RBPMS2,LONRF2,CMTM5,FLNA,ADCY5,TNNI3K,INPP5A,SPEG,TMOD1,PNCK,ZHX3,REEP2,KLF9,REEP1,LIMS2,ANKS1B,ABI3BP,DIXDC1,PARVA,BMPR1A,FXYD1,JMY,CENPF,PPP1R12C,CAMK2G,KCNMB1,TGFB1I1,IPW,SLC22A17,PYGM,RAP1A,GRIK5,SELM,COL4A5,FOXF1,FLNC,SRF,MEIS1,PDZD4,PBX1,MYL9,GPM6B,MYOT,ADARB1,LRCH1,FGF2,SMTN,C20orf200,CLIP3,FHL1,ZEB1,PRDM8,GEFT,ABCA9,C1orf175,BHMT2,ZNF34,ANKS1A,MTUS2,ADAM33,SOBP,BTC,NTN1,KY,TEAD3,MAMDC2,ST3GAL3,NAP1L5,KCNMA1,ITPKB,C9orf5,CBX7,PDK4,CACNA1H,C22orf39,SCHIP1,PDZRN4,PIP5K1C,KANK2,CAMK2A,LRCH2,LOC375190,NACAD,PKD2,ANO5,TOR1AIP1,CHRM2,HOXA4,MYOM1,COL21A1,MAP4,LOC283856,TCEAL7,DPT,NCS1,ZNF483,ADHFE1,FAT3,MPDZ,CORO1C,PDLIM7,NRXN3,MXRA7"
