"ID","Up_regulated"
"hsa-miR-30d-5p","PALM2-AKAP2,TNNC1,CDC45,GINS2,AURKA,SCN7A,CLEC3B,GKN2,PKMYT1,ABCA8,KHDRBS2,ESPL1,LPL,C14orf132,FIGF,TCF21,DKC1,C4orf31,KIF15,ATOH8,ANLN,AK3L1,HPRT1,SFTPA2,AFF3,FGFR4,KIF23,TSPAN12,GRK5,CDKL2,ACADL,GGTLC1,C10orf67,CKAP2,MCM4,DAPK2,TDRD10,CLIC5,MRPL3,GPM6A,SGMS2,SKA3,C1QTNF7,GLDN,C20orf20,NRG3,SHE,GPR133,BUB1B,WWC2,EPAS1,SLC1A1,FOLR1,AGER,FLAD1,ANXA3,SFTPC,SPTBN1,SPTBN2,GRAMD2,SUSD2,CCDC85A,OTUD1,LMO7,VSIG4,ADAM29,C13orf15,KIAA0408,ACOXL,AKAP2,SULT1A2,CDO1,ALDH3B1,PLA2G1B,HMGA1,UHRF1,LTA4H,UBE2S,AK1,CAV1,NLRP12,MS4A15,CA4,NUSAP1,SYNE1,SPAG5,B3GNT7,COL4A3,IYD,SHROOM4,CYP4B1,ERCC6L,TK1,VIPR1,CENPI,KIF4A,FXYD1,CENPF,NPR1,TTK,ACTN2,EPR1,KANK3,KCNT2,NFKBIL2,PHACTR2,PTPN21,CCNF,GYPE,SFTA1P,KIAA1462,SNX30,TFAP4,C16orf59,RNASE4,PARD6B,CPAMD8,AQP4,CNTN6,GPD1L,PLEKHH2,CFL2,CLDN18,SNRPA1,TROAP,CSE1L,MAGI3,BEND2,CYP2B7P1,AGBL1,GTSE1,KL,SELENBP1,H2AFX,RS1,DENND3,LOC723809,CENPO,AATK,MCM2,FANCI,INMT,EXO1,LIMD1,CDH5,FHL1,CTNND2,GAPDH,GPR116,RTKN2,C6orf174,ITLN2,KIF18B,HDAC1,ARRB1,ABCA9,FAM189A2,ZWILCH,OIP5,SLC39A8,AURKB,FMO2,SPN,ADRB2,RCC1,AOC3,MRC1,GPRC5A,KIF14,GRIA1,BUB1,SKA1,BTNL9,LRRN4,LRRN3,ASF1B,NCKAP5,CACNA2D2,DLC1,CENPA,CYBRD1,C19orf48,CCDC48,LOC100128191,TEK,C11orf9,LRRC19,RFC3,FAM105A,LRP2BP,RAD51,FBP1,TIMELESS,C1orf198,EMP2,TMEM177,EPB41L5,LIMCH1,UNG,TNS1,LRRC36,POLQ,CD302,C7orf11,SDPR,MKI67,ESAM,TRPC2,NCAPH,RAMP2,XRCC2,CENPE,NMUR1,OVCH2,ABCA6,TMEM125,PRC1,ARHGAP11A,WFS1,HJURP"
"hsa-miR-20b-5p","SNORA76"
"hsa-miR-148a-3p","TDRD5"
"hsa-miR-146b-3p","WRNIP1"
"hsa-miR-1301","PSMD11,BLMH,LIG3"
"hsa-miR-96-5p","PSMD11,BLMH,IMMT,LIG3,SPAG5,CENPO,SMO,SKA1,TIMELESS"
"hsa-miR-34c-5p","CCL14-CCL15,C1orf92,GAS2L2,MARCH10,ZNF474,C1orf129,FLJ26850,TEKT4,DCDC2B,ARMC3,CCDC114,EFHB,C11orf88,C11orf66,C6orf103,C6orf118,RSPH10B2,RSPH1,C11orf16,CCDC151,CNGA4,C13orf30,CCDC65,DYNLRB2,C1orf194,KIAA1751,CCDC147,DYDC1,IFLTD1,WDR65,C2orf39,SPAG8,RSPH4A,LOC100287718,TTC16,DNAH9,FRMPD2,C1orf192,C15orf26,TTC18,ENKUR,C3orf15,CASC2,ZMYND10,STOML3,HHLA2,LRRC10B,CASC1,C1orf158,LRRC18,DTHD1,C19orf51,C17orf72,MS4A8B,CDHR3,C6,DYDC2,CCDC135,WDR93,CCDC96,C20orf85,TTLL9,CCDC33,TEKT3,ANKFN1,LRRC48,YSK4,CCDC13,VWA3A,TTLL10,C6orf165,TMEM232,UBXN10,CCDC37,PZP,LRRC46,CCDC40,DNAI1,TEKT2,C1orf173,DNAH7,CAPSL,WDR78,C20orf26,DNAI2,C2orf62,C9orf171,C10orf95,FAM179A,TTC25,C6orf97,WDR38,LRRC43,NEK10,C2orf50,WDR16,EFCAB6,C16orf71,CCDC17,ARMC4,TMEM212,VWA3B,CCDC81,LRRC50,LPPR3,KCNRG,APOBEC4,CCDC108,SPAG6,TEKT1,CCDC19,C5orf49,KIF19,KCNE1,TCTE1,CCDC42B,WDR63,C1orf114,CDHR4,NEK5,C10orf79,C9orf117,RGS22,TUBA4B,TTC29"
"hsa-miR-29b-2-5p","DVWA"
"hsa-miR-145-3p","MFSD2B,GRK5,PKNOX2,FLAD1,SCN4B,NPR1,SNRPA1,INMT,AOC3,C19orf48,CCDC48,LGI3,C1orf198,LIMCH1,TNS1,WFS1"
"hsa-miR-1307-3p","AURKA,SCN7A,ESPL1,KIF23,FHL5,C1QTNF7,LOC134466,HMGA1,ANGPTL5,CLEC14A,INMT,ASF1B,C19orf48,CD302,FAM13C"
"hsa-miR-450b-5p","E2F7"
"hsa-miR-24-2-5p","CA3"
"hsa-miR-130b-3p","BARX1"
"hsa-miR-200b-5p","SOX15"
"hsa-miR-101-3p","PKMYT1,NLRC4,ESPL1,DKC1,ANLN,KIF23,CDKL2,MCM4,DAPK2,MRPL3,VEPH1,SKA3,PTCRA,BUB1B,C19orf59,SIGLEC11,OTUD1,VSIG4,HMGA1,UHRF1,LTA4H,RXFP2,NUSAP1,OLR1,COL4A3,IQSEC3,ERCC6L,CENPI,MS4A7,KIF4A,TTK,MSR1,GPR120,NFKBIL2,SIRPD,PRAM1,CCNF,SNRPA1,GTSE1,DPEP2,SLC22A10,MCM2,FANCI,EXO1,GAPDH,CD5L,ALOX5,KIF18B,FAM189A2,ZWILCH,KIAA0087,SPN,RCC1,MRC1,KIF14,GPA33,SKA1,C19orf69,C19orf48,LRP2BP,RAD51,FBP1,TIMELESS,CD302,MKI67,PNPLA6,NCAPH,CENPE,PRC1,ARHGAP11A,DRAM1"
